INDEX,DESCRIPTION,CATEGORY
67,A group of boys came on their bike and snatched one lady's purse and ran away,"Chain Snatching, Others, "
68,While coming back from dance a boy was commenting on my uncle's daughter who was elder than me. We complained about it to the local people and they beaten the guy very badly,"Commenting, "
69,A boy was following me while I was coming back from school.,"Stalking, "
70,A Man was touching my hand when I was travelling in public auto. When I asked why are doing this he clearly refused and pretended to be innocent.,"Touching /Groping, "
71,"My mother and aunt was going to market, while returning from there. Two man came on bike and snatched my mother's chain","Chain Snatching, "
72,"A girl senior from me who lived in my apartment was harassed by group of boys. Everdag they form a group with their bike and harass her by whistling, touching and commenting.","Catcalls/Whistles, Commenting, Touching /Groping, "
73,"One day I saw a man was, snatching one lady's dupatta. And no one was helping her","Touching /Groping, "
74,"One day I was playing in garden of my house. My friend called me she used to live on the next side of the road. A boy started making faces at my friend and me. First we ignored it, but he didn't stopped.  I gave him tight slap and asked him to leave.","Ogling/Facial Expressions/Staring, "
75,There is a girl who leaves with her sister and the sisters husband sleeps with her severally and she cant speak out because he is the one who provides everything and doesn't want to wrong her sister,"Sexual Invites, "
76,If a boy has HIV and you sleep with him will you get HIV ?,"Commenting, "
77,There is a boy who  comes at our shop and says he wants us to be friends  but I refused if he follows me what should I do,"Stalking, "
78,If a person at the age of my father want to have a relationship with you and want to have sex with you what will you do?,"Commenting, "
79,A girl says there are boys who lied to a certain girl to go study with them at their home and they raped her.,"Rape / Sexual Assault, "
80,A girl says that an older man with three children is asking her to date him and put it  as a secret not to tell friends or parents,"Sexual Invites, "
81,A girl says she has a friend who likes masturbating,"Commenting, "
82,A girl says that a man wants to have me for himself as a wife . And she she doesn't like him and he is now spreading to other boys that she is ugly .She doesn't know what to do,"Commenting, "
83,If someone forces you to sleep with him and and you refuses and you have been in a relationship with him for so long and says its time for you to pay back. What should you do?,"Sexual Invites, "
84,If a boy wants you to do sex with him and tells you that if you shout or tell anyone  he will kill you.What is the best action to take?,"Commenting, "
85,Someone says her friend slept with a boy after school,"Commenting, "
86,A girl says there is a man who loves disturbing her when she has been sent to the shop by her parents,"Catcalls/Whistles, "
87,A girl says that her neighbor wanted to have sex with his child but the child reported him and he was caught,"Commenting, "
88,There is a  boy classmate who loves touching in their private parts and threatens them not to say anything to the teacher .,"Touching /Groping, "
89,A girl says where she lives there a person who does sex and calls her beutiful,"Catcalls/Whistles, "
90,If a mother has sex with an infected man will she have HIV ?,"Others, "
91,A girl asks why do people have sex ?Why is it hard for girls to say no when a boy says they love them,"Others, "
92,A girl says that there is a boy who disturbs her and wants her to be her girlfriend and always calls her babe,"Sexual Invites, "
93,Harassment from boys and and grown men who fit to be your grand father or father .Men do harass small children  by threatening them and taking them to their house and having sex with them under 10 years,"Commenting, "
94,A girl says she needs help where she lives there are boys who are disturbing her every time and she also wants mentorship,"Sexual Invites, "
95,A girl says she has four girls and they are her friends and classmates.They all have boyfriends .They usually ask her why she doesn't have and she tells them she doesn't but instead they force her to have one,"Indecent exposure, "
96,A girl says that her friend was raped and now she is HIV positive and she is asking  if someone has been raped are they not suppose to remove their clothes,"Rape / Sexual Assault, "
97,A girl says when she is walking  boys call her and if she refuses they want to beat her,"Catcalls/Whistles, "
98,Is it bad to have a friend who is a boy and you trust him,"Others, "
99,As girls we go through many things .A teacher in a school at Laini Saba takes advantage of girls.please help us,"Sexual Invites, "
100,If a boy disturbs you daily then you abuse him verbally what will he do?,"Others, "
101,A girl was walking then saw two boys catching a girl's buttocks and taking her towards  a dark side of the road,"Sexual Invites, "
102,if a boy tells you to prove to him if you love him and asks you to kiss him what should you do?,"Others, "
103,girls are complaining that they are being caned on the buttocks and it is against Kenyan law,"Sexual Invites, "
104,A man threatened a girl that he will end her life if she does not accept to be his woman,"Sexual Invites, "
105,A older boy disturbing girls always touching them.,"Sexual Invites, "
106,A teacher caining/beating  girls on buttocks,"Sexual Invites, "
107,A grade six boy calling a girl sweet baby every time she passes,"Commenting, "
108,"Young men commenting on a girl with a short skirts; sexy, hot","Catcalls/Whistles, Commenting, "
109,A girl says there is a boy disturbing him at home,"Sexual Invites, "
110,"During the course of the interview the MD asked me Inappropriate questions like &quot; what would you do if some man touches you when you are walking down the street&quot;. I felt molested.He also intruded my personal space by asking me questions on my divorce ( when, where, how). I am in need of a job as I have none. If they offer I might join for few months till I find another. But I know I should not join.","Commenting, "
111,this happened long ago but cannot forget it. The fellow was behind me when he kept touching my butt and around. month day time are approximate,"Touching /Groping, "
112,A girl was walking home and a man tried to hold her by force,"Sexual Invites, "
113,"19th December 2017.

Around 10.30 am in broad daylight at Andheri Station, Mumbai

I had just gotten out of a train and was heading to the staircase to get to the overhead footbridge. There was a lot of crowd, leading to a mini- stampede situation. I lost my sister's hand in this and got pushed ahead. For a few minutes no one moved as there were so many people and the crowd was just not able to move. I suddenly felt something on my chest, but thought its just in my head. But I kept feeling it, again and again, and then to my horror when I looked down, there was a hand on my left breast groping me again and again and again. I couldn't even move my head to turn and see who it was, or move my hand to get the hand off me. Because there were SO MANY PEOPLE STUCK TO ME. I froze. And after a few seconds the crowd suddenly started moving ahead and I got pushed again. By the time I could get some space to turn and look for who it was, I guess he was gone. I kept trying to look for him, but had no idea what he looked like, and he got away.

When my sister found me she said I had the most shocked expression and looked horrified. And she said she saw 2-3 women more in the same crowd, with the same expression, and that someone tried to grope her from behind too in that stampede.","Touching /Groping, "
114,A girl was defiled or raped with three  men  for three days and was almost dying because of the pain she undergone but got pregnant but she want to abort but she need advise,"Rape / Sexual Assault, "
115,a girl is being harassed with boys they touch her on the private parts and if she refuses they beat her up and threaten her up,"Touching /Groping, Sexual Invites, "
116,some boys like pulling and touching a girl in a corridor when she has been sent to the shop,"Touching /Groping, Sexual Invites, "
117,A girl is being forced to have sex with her biological farther and she is requesting for help,"Sexual Invites, "
118,A girl is being  forced to have sex with her uncle so that he can buy sanitary towels for the girl,"Sexual Invites, "
119,There are some boys who like touching girls on the buttocks and breast,"Touching /Groping, "
120,there are some boys who normally wait for a girl when she is from school and want to touch her breast.They told  her if she refuses they will beat her,"Touching /Groping, Sexual Invites, "
121,A young woman going to Toi market was raped at Karanja Road,"Rape / Sexual Assault, "
122,some boys do call a girl wherever they meet her and they also run after her  but the girl usually hide where she cant be seen by them and the girl is wondering what do they want from her,"Catcalls/Whistles, "
123,a girl is asking  that is it right to have sex when you are in your menses,"Sexual Invites, "
124,a girl was forced to have sex,"Rape / Sexual Assault, "
125,Groping and touching,"Touching /Groping, Sexual Invites, "
126,Employee was invited to evening hotel room and was indicate that even if she was married the doctor wouldn't mind it. Doctor married too.,"Touching /Groping, Sexual Invites, "
127,A man followed a girl who was going to the shop.,"Sexual Invites, "
128,A man looked at a girl as she  was walking along the road.,"Ogling/Facial Expressions/Staring, "
129,A man making catcalls at a girl as she was passing.,"Catcalls/Whistles, "
130,"As he was holding her hand walking a long the road,the man commented on the girl how sexy she looks.","Commenting, "
131,A girl's hand was hold by a boy as she was walking along the road.,"Touching /Groping, "
132,Girls canned on their buttocks when are on their monthly period hence causes more pain and blood flow.,"Others, "
133,A teacher canning on the girls on their buttocks as he looked at their thighs.,"Sexual Invites, "
134,"a girl reported that the man has been telling her to go into his house with this man many times and refused,he has been buying sweets and biscuits for the girl.","Stalking, "
135,"Before a man raped her,he removed her clothes,tied her mouth,legs and touched her private parts.","Touching /Groping, "
136,"A girl was raped by a man,in their house when mom was not around.","Rape / Sexual Assault, "
137,A man wanted to rape a girl and touched her forcefully as she ran away,"Touching /Groping, "
138,A BOY FORCED A GIRL TO LOVE HER AND WANTED TO RAPE HER.,"Rape / Sexual Assault, "
139,A boy likes seducing a girl at school.,"Sexual Invites, "
140,A girl was touched by a man who had sex with her on her private part and touched her breast kissing her.,"Touching /Groping, "
141,A man had sex with a girl.,"Rape / Sexual Assault, "
142,"A girl was touched by a man on her breast,private parts and kissed her.","Touching /Groping, "
143,A man had a sex with a girl.,"Rape / Sexual Assault, "
144,A girl reported that a teacher likes canning the girls on buttocks.,"Others, "
145,a Girl reported that a boy likes starring at her most of the time.,"Sexual Invites, "
146,A girl reported that a boy likes playing with her and smiling at her during break time.,"Sexual Invites, "
147,A man has been following a girl anytime he saw her.,"Stalking, "
148,A man touched a girl on her breasts and private parts for sex.,"Touching /Groping, "
149,A man had sex with a girl,"Rape / Sexual Assault, "
150,A boy starred at a girl as she was walking along the road.,"Sexual Invites, "
151,A boy loudly commented on a girls hips that they look sweet.,"Commenting, "
152,Some starring at a girl as she passes near them.,"Sexual Invites, "
153,Some boys were catcalling a girl who was passing near them,"Catcalls/Whistles, "
154,A tall man stared at a girl as she was walking.,"Sexual Invites, "
155,Some boys were whistling at a girl as she was going to the bus station.,"Catcalls/Whistles, "
156,A man comments on a girl's body shape as she passes.,"Commenting, "
157,A man staring at a girl as she passes near the shop.,"Sexual Invites, "
158,A man touches a girl's waist besides the road.,"Touching /Groping, "
159,a girl is afraid because her neighbor whose name is James touched her on the private parts and threatened  to kill her if she tell anybody about it,"Touching /Groping, "
160,A boy forced a girl to have sex with her in his house,"Sexual Invites, "
161,A girl is asking  why is it that boys like removing girls the clothes when they want to have sex with them,"Sexual Invites, "
162,a form two year old has been touching girls on the private parts and having sex with young children,"Rape / Sexual Assault, "
163,a three year old girl was touched on her private parts and the boy put his penis on the child and urinated on her mouth,"Touching /Groping, Sexual Invites, "
164,a three year old girl was touched on her private part by a 15 year old,"Touching /Groping, "
165,A girl is complaining about being caned on the buttocks because when she is in her menses it flows a lot and it is embarrassing,"Sexual Invites, "
166,a teacher is caning girls on the buttocks,"Others, "
167,there is a  boy who like following a girl wherever she goes,"Sexual Invites, "
168,"a girl is asking that there is a man who is in love with her but she do not, want what is the best action to take?","Sexual Invites, "
169,A man is forcing a girl to love him by force,"Sexual Invites, "
170,a motor bike rider was passing and stopped just to say hie to me and told me that he is already in love with me,"Sexual Invites, "
171,I was in the matatu and one man told me that he is in love with me and requested for my number,"Sexual Invites, "
172,a woman went to buy medicine from the chemist and found the man who was left to be in charge.  He asked the buyer to sleep with him and all her pain will go off.,"Sexual Invites, "
173,A boy told me that he loves me but I don't want,"Sexual Invites, "
174,A new boy in our school has been stalking me,"Stalking, "
175,"A boys has been coming after me, I try to avoid him but he is insisting","Sexual Invites, "
176,Older boys beating young girls,"Others, "
177,Boys who were drinking and smoking were staring at me,"Ogling/Facial Expressions/Staring, "
178,A girl is scared about boys raping girls,"Sexual Invites, "
179,I always pass around some boys and they call me,"Catcalls/Whistles, "
180,Boys looking at girls under their dresses when they sit down.,"Sexual Invites, "
181,A GIRL DISTURBED BY BOYS AFTER SCHOOL.,"Sexual Invites, "
182,A girl loved by a boy in their school.,"Others, "
183,A boy commented on my dressing.,"Commenting, "
184,"We were enjoying water games and there was a group of boys who were touching girls by any means every now and then. They were shouting,  passing comments.","Commenting, Touching /Groping, "
185,I went with my friends to water park and there a group of boys stalked and commented us.,"Commenting, Stalking, "
186,One man just asked me would I spend a night with him? And he spoke while I was stuck in a traffic in auto.,"Sexual Invites, "
187,I was going through auto and the guy sitting opposite me was continuously staring me from top to bottom and the made me feel really uncomfortable.,"Ogling/Facial Expressions/Staring, "
188,I was waiting for bus at a bus stop and two boys were taking a picture of mine from opposite side.,"Taking pictures/ Distributing pictures, "
189,"I went to washroom and while I was coming back to my family,  suddenly someone groped my breasts and I was terrified,  stunned.","Touching /Groping, "
190,I went to park with my friends and one boy commented on my dressing. And I felt so uncomfortable,"Commenting, "
191,A middle aged man touched me when I was boarding n auto. And I was stunned,"Touching /Groping, "
192,"While I was going on my scooty, two boys on their bike commented very absurd words.","Commenting, "
193,Me and my friend were having fast food and a group of boys were continuously staring at us.,"Ogling/Facial Expressions/Staring, "
194,Two men stalked me while I was going alone towards auto stand.,"Stalking, "
195,"there is a teacher who like touching girls on the private parts,caning there buttocks while touching their buttocks asking how many clothes does the girl has","Touching /Groping, Sexual Invites, Others, "
196,when the girl is passing on the road she is being called by boys,"Catcalls/Whistles, "
197,Teachers are in love in the same school,"Indecent exposure, "
198,There is a boy who wanted to touch a girl on the privates but she refused and beaten the her,"Touching /Groping, Others, "
199,"a girl traveled to upcountry and met a boy and had sex, when she came back to Nairobi met the same boy seducing other girls","Sexual Invites, Others, "
200,there is a boy who  touched the girl on the breast but she is not interested,"Touching /Groping, "
201,girls were being caned on the buttocks,"Sexual Invites, "
202,Mr Lubanga  cane girls on the buttocks,"Sexual Invites, "
203,There is a teacher who like caning girls on the buttocks,"Sexual Invites, "
204,there is a boy who is forcing a girl to have sex with him,"Sexual Invites, "
205,Daisy was raped,"Rape / Sexual Assault, "
206,some teachers  are seducing girls in school,"Indecent exposure, Sexual Invites, Others, "
207,there is a boy who like disturbing girls in school,"Sexual Invites, "
208,They were stalking,"Commenting, Ogling/Facial Expressions/Staring, Stalking, "
209,A girl went to the shop and a man started whistling and calling her.,"Catcalls/Whistles, "
210,A girl's hand was held by a businessman in the market as she was passing in the market stall that he want her to love him.,"Touching /Groping, "
211,A she was walking along the road and some men who were behind her were commenting on her buttocks.,"Commenting, "
212,a girl was whistled at as she was going for games practice by some two men.,"Catcalls/Whistles, "
213,A boy checked into a girls bag and found sanitary towel then he started comment about it to the rest of the class members.,"Commenting, "
214,A girl caned on her buttocks as her thighs exposed to the rest of her classmate.,"Sexual Invites, "
215,A girl was caned on her hips by the teacher.,"Sexual Invites, "
216,A girl sexually abused by a male neighbor.,"Rape / Sexual Assault, "
217,A Girl caned by male teacher while uplifting her uniform.,"Others, "
218,A girl being seduced by a boy and he disturbs her most of the times.,"Others, "
219,A girl was touched on her breast by a school boy behind the water tank.,"Touching /Groping, "
220,A was touched by a boy on her way to home.,"Touching /Groping, "
221,A man had sex with a class eight girl and became pregnant.,"Rape / Sexual Assault, "
222,A girl had a sex with a man and she is now pregnant.,"Rape / Sexual Assault, "
223,A girl disturbed by her schoolmate who want to be her lover.,"Others, "
224,A girl felt too shy as she was walking and some men were looking at her and ogling.,"Ogling/Facial Expressions/Staring, "
225,"A man wanted her to be her girlfriend,he told her on her way to shop.","Others, "
226,A girl was touched by her sister's husband whom she stay with when her sister was not around.,"Touching /Groping, "
227,Her friend who is a girl was being whistled at when they were walking together to the church.,"Catcalls/Whistles, "
228,A girl was forced to have sex with her step father.,"Rape / Sexual Assault, "
229,A girl followed by boys when sent to the shop.,"Others, "
230,A girl raped by her father when mother was not around.,"Rape / Sexual Assault, "
231,A girl touched by her brother on her breast in their house when the parents are not around.,"Touching /Groping, "
232,A man told a girl to touch him on his private part and she ran away.,"Touching /Groping, "
233,A boy told the girl that he want to have sex with her.,"Sexual Invites, "
234,A girl seduced by three men as she went to buy vegetables for supper.,"Others, "
235,A girl was told by a boy that he love her as they were from school.,"Sexual Invites, "
236,A girl disturbed by two men via their comments about her.She faces the challenges of being disturbed by other men too on her way to the shop.,"Commenting, "
237,A girl disturbed by a man to be his girlfriend.,"Sexual Invites, "
238,A girl being disturbed by boys who always tell her to have sex with them.,"Sexual Invites, "
239,A girl being disturbed by boys and always comment on how sexy she looks at home.,"Commenting, "
240,A man wanted to have sex with a school girl when the parents were not around in their house.,"Sexual Invites, "
241,A girl was being called by men on the road side as she was walking to the market.,"Catcalls/Whistles, "
242,A girl caned by her teacher on her buttocks as her uniform pulling up in front of her classmates.,"Sexual Invites, "
243,A girl forced and threatened by a man to be his girlfriend.,"Others, "
244,A girl is forced by a man to have sex near their house.,"Sexual Invites, "
245,A GIRL FORCED TO HAVE SEX BY HER UNCLE AT HIS HOUSE.,"Sexual Invites, "
246,"A girl touched,kissed by a boy in school.","Sexual Invites, "
247,Dropping my husband to the bus station after 10pm when i was returning back to my residence..followed &amp; stalked by 2boys on a vehicle.,"Ogling/Facial Expressions/Staring, Stalking, "
248,There is a boy who likes disturbing a girl in the same school,"Sexual Invites, Others, "
249,There is  a boy who is in love with another girl but she do not want,"Sexual Invites, Others, "
250,A boy called Benedict likes touching girls,"Touching /Groping, Sexual Invites, "
251,Boys from a neighboring school like touching girls from the buttocks,"Touching /Groping, "
252,A girl was disturbed when she was from the shop by some boys,"Sexual Invites, "
253,some girls are being harassed by some men because they are fat and if they do not want they are abused,"Sexual Invites, "
254,There is a boy in the same class with  a girl and he always wants to touch her,"Touching /Groping, Sexual Invites, "
255,There was a boy who wanted to touch a girl on her private parts,"Touching /Groping, "
256,A boy likes disturbing girls in class when the teacher is not there,"Sexual Invites, "
257,Some boys like embarasing girls if they refuse to be there girlfriends,"Sexual Invites, Others, "
258,When students are from school there is a boy who like disturbing girls like he wan to touch there breast,"Touching /Groping, Sexual Invites, "
259,There is a boy who like disturbing a girl in class,"Sexual Invites, "
260,There was a day that a man wanted to rape a girl when she was from school,"Rape / Sexual Assault, "
261,Some boys tried to rape a girl but she screamed and was helped but they followed her later  and she disappeared,"Rape / Sexual Assault, "
262,There is a boy who always disturb a girl  and always insists to touch her,"Touching /Groping, Sexual Invites, Others, "
264,A girl had sex with a man and she is pregnant right now.,"Rape / Sexual Assault, "
265,A man wanted to sleep with a girl in their house when her mother was not around.,"Sexual Invites, "
266,-A girl wanted to be raped by her mother in her mother's bed.,"Rape / Sexual Assault, "
271,A girl was raped by her step father and she was afraid to tell her mother.,"Rape / Sexual Assault, "
272,A girl being seduced by her teacher.,"Others, "
273,There is no light at night and boys follow girls at night if they have been sent,"Poor / No Street Lighting, "
274,There is a boy who disturbs  girl when she is sent to the shop,"Sexual Invites, "
275,teachers are touching girls first before caning them on the buttocks,"Touching /Groping, Sexual Invites, "
276,Joyce do not want to be beaten on the buttocks because it is painful most likely when in period,"Sexual Invites, "
277,There is a teacher who like beating girls on the buttock and it is prohibited,"Sexual Invites, "
278,Boys like touching girls during class time when the teacher is not around,"Sexual Invites, "
279,Teachers like beating girls on the buttocks,"Sexual Invites, "
280,There is a boy who like following a girl at night when she has been sent to the shop,"Poor / No Street Lighting, "
281,There is a boy who like touching girls,"Sexual Invites, "
282,Class seven boys like touching girls on the private parts,"Touching /Groping, "
283,Teachers are folding girls' uniform before they are caned since their pants can be seen,"Sexual Invites, "
284,It is painful when girls are beaten on the buttocks,"Sexual Invites, "
285,Teachers like caning girls on the buttocks,"Sexual Invites, "
286,Sharon do not want to be caned on the buttocks because it is against government,"Sexual Invites, "
287,some girls when are caned on the buttocks their pants are being seen with their fellow pupils,"Sexual Invites, "
288,when a girl is passing some boys like calling her and they are telling her that they will rape her,"Catcalls/Whistles, Sexual Invites, North East India Report, "
289,"Girls do not want to be caned the buttocks when they are in period, they are feeling much  pain","Indecent exposure, Sexual Invites, "
290,A girl had sex before she started her monthly period and she is asking if she will get pregnant,"Sexual Invites, "
291,A primary old girl is pregnant and her friend does not know what to do,"Others, "
292,Teachers are caning girls on the buttocks,"Sexual Invites, "
293,There is a teacher who like caning girls on the buttocks,"Sexual Invites, "
294,Girls are complaining that they are being caned on the buttocks,"Sexual Invites, "
295,Girls do not want to be caned on the buttocks,"Sexual Invites, "
296,There is a girl who is complaining not to be caned on the buttocks,"Indecent exposure, Sexual Invites, "
297,Girls are being caned on the buttocks,"Sexual Invites, "
298,There is a boy who like disturbing a girl,"Sexual Invites, "
299,There is a boy who is seducing a girl and the girl does not want him,"Sexual Invites, Others, "
300,There is a boy who told a girl that she love her from the same village,"Sexual Invites, Others, "
301,There is a boy who greeted a girl and touched her on the hands,"Sexual Invites, "
302,The boyfriend wan to have sex with her girlfriend,"Sexual Invites, "
303,There is a boy who follows a girl wherever she goes in the village,"Sexual Invites, "
304,A girl had sex with a boy and she asking how can she prevent her her self from sexual intercourse,"Sexual Invites, "
305,A boy told a girl when he saw her for the first time that he like her,"Sexual Invites, "
306,There is a boy who usually want to touch a girl on the private parts and she is afraid telling her mother,"Touching /Groping, "
307,There is a boy disturbs a certain girl and always cries,"Sexual Invites, "
308,There is a girl who was touched on the breast with a boy,"Touching /Groping, "
309,The boyfriend is asking for sex from her girlfriend,"Sexual Invites, "
310,a boy somewhere is seducing a girl,"Sexual Invites, Others, "
311,The boyfriend want to have sex with her girlfriend,"Sexual Invites, "
312,Some boys like calling girls when they are passing on the road,"Catcalls/Whistles, Sexual Invites, "
313,There is a boy like following a girl when she goes to get water from a local water vendor,"Sexual Invites, "
314,There is a boy who usually like following a girl at her home and like calling her wherever she goes,"Sexual Invites, "
315,A girl was touched on the private parts by a boy,"Touching /Groping, "
316,A girl was raped and her friend is the only one who is aware,"Rape / Sexual Assault, "
317,Girls are being beaten on the buttocks and also being injured on the private parts,"Sexual Invites, "
318,Some boys like following girls when they are from school,"Sexual Invites, "
319,Some boys are disturbing a certain girl after taking bhang and alcohol,"Sexual Invites, "
320,There is a man who has been following a certain girl anywhere she goes mostly at night,"Sexual Invites, Poor / No Street Lighting, "
321,A girl's brother connected her with his friend and ended up being in relationship with him and ended up having sex with her,"Sexual Invites, "
322,"a girl went to visit her friend and were invited to take lunch together,then the father of her friend started touching her on her breast and she ended having sex after being given two hundred","Touching /Groping, Sexual Invites, "
323,There is a girl who is living with her aunt and she brought her a boy to have relationship but the girl is not interested,"Indecent exposure, "
324,"A girl is being seduced by  boys,they like following her every where she goes","Others, "
325,The girl was raped by her biological father and was taken to hospital and treated and then disappeared,"Rape / Sexual Assault, "
326,a boy has been following a girl at night in the street and there is no light,"Poor / No Street Lighting, "
327,A girl was raped by strangers at when she was sent to the shop.,"Rape / Sexual Assault, "
328,Girls being caned by male teachers as their uniforms spread up and their thighs exposed to their fellow boys students.,"Sexual Invites, "
329,There is a man in the village who is seducing young girls and if they refuse he is telling them that they will beat them,"Sexual Invites, Others, "
330,"A girls boyfriend's called his friends to rape the girl because she refused to have sex with her and now she is HIV positive,pregnant and also having STDs","Rape / Sexual Assault, "
331,A boy and a girl has been dating for five years and the boy insisted to have sex with her and she refused but later called his friends and rape her,"Rape / Sexual Assault, "
332,A girl had sex with a boy and got infected with HIV/AIDS but do not want to inform her parents,"Sexual Invites, "
