INDEX,DESCRIPTION,CATEGORY
56,"He insistently asked me to have sex with him, when we were just beginning going out he attacked me with psychological violence and created fake social media accounts to harass me. He sent intimate pictures of me to someone else",Taking pictures/ Distributing pictures
57,"He is a manipulative, aggresive and abusiv man who tricks you into falling in love and giving him money. Also, he manipulates you into agreeing to have unprotected sex",Rape / Sexual Assault
58,He and his friends exchange packs/ pictures of women,Taking pictures/ Distributing pictures
59,This teacher made inappropiate comments to me like that they had to spank me to change my attitude. He once told me that he dreamed that I was being whipped all over the school,Commenting
60,I was dating this guy and from the beginning of the relationship he showed himself to be disrespectful and played with my sanity. He sent me intimate pictures of a girl,Taking pictures/ Distributing pictures
61,"I suffered from harrasment by this teacher, he sent me many messages with inappropiate comments about my appearance",Stalking
62,He collects intimate photos of female clssmates and shows them to other guys. He also makes sexual advances and sends you photos of his penis,Taking pictures/ Distributing pictures
63,This teacher touches the female students without consent and harasses them sexually,Touching /Groping
64,"This teacher makes inappropiate, sexual, and misogynistic comments",Commenting
65,"He harasses by sending messages on social networks, makes inappropiate comments and sends sexual pictures of himself",Stalking
66,He is a virtual stalker who sends sexual messages and pictures of himself,Stalking
67,"The days that I wore skirt, dress or shorts, this teachers told me that I should wear shorter ones. He always looked at me lewdly and on one ocassion he told me that I should practice making babies, that he could tought me",Commenting
68,This teacher looks lewd at his female students,Ogling/Facial Expressions/Staring
69,This teacher looks lewd at his female students,Ogling/Facial Expressions/Staring
70,This teacher looks lewd at his students and makes sexual advances to them. He always looks for some kind of physycal contact by hugging you or touching your back,Touching /Groping
71,He harrased a friend into agreeing to have sex with him in a teacher´s office. He also tried to touch her breasts and butt,Touching /Groping
72,This teacher looks lewd at his female students and always touch their backs,Touching /Groping
73,He asks for your phone number as part of the school paperwork and then uses it to call you during the holidays,Stalking
74,When I was in first semester he would send me messages inviting me to go out with him and even to drink alcohol. He sends mails with inappropiate comments about your appearance,Stalking
75,This teacher pretended to touch my butt and then started laughing. He looks lewd at this students,Touching /Groping
76,"This teacher does not respect your personal space and gets very close, until he sticks his member to your body. He also asks inappropiate questions and comments",Touching /Groping
77,"This teacher suggested the possibility of kissing me, told a classmate that she was a slut for smoking and made misogynistic comments",Commenting
78,This teacher made inappropiate comments about the appearance of the female students. During his exams he looked at my breasts and said they deserved a 10 mark. ,Commenting
79,"This teacher told me that I was very pretty while he gave me my grade, then he hugged me forcibly and kissed me on the mouth, he held my head with one hand and with the other he reached to grab my breast",Touching /Groping
80,"This teacher touched me in the laboratory, he told me that I was very beutiful but very silly. During an exame he tried touch my leg",Touching /Groping
81,"He was my boyfriend but one day he took me to his house, drugged me and threatened me that he would harm my family if I did not have sex with him",Rape / Sexual Assault
82,"He is a stalker who followed students everywhere, even to the bathroom. He also sends multiple messages on facebook and photos of his penis. He has threatened women with raping and killing them",Stalking
83,"I had to go to a symposium in Barcelona and this teacher insisted on sharing a room to spend less, which I refused. He carry me like it was our honeymoon without my consent. He gave a kiss on the shoulder while hugging me to say goodbye and threatened me that I would not get a job as an investigator if I did not agree to be with him. When he returned to Mexico he sent me a love poem to my mail",Touching /Groping
84,This teacher harasses you with messages on facebook and whatsapp,Stalking
85,This teacher is a stalker who sends many messages on facebook and also intimate photos of him,Stalking
86,This teacher asked the students to pass in front to see them in a lewd way from his desk,Ogling/Facial Expressions/Staring
87,This teacher failed me and suggested me would make a deal in a sexual way for me to pass,Sexual Invites
88,This teacher would stand behind me and hold my shoulders. Several times he tried to greet me with a kiss and used to make inappropiate comments all the time,Touching /Groping
89,"This teacher always looked at me lewd and got too close to me, until one day he stroked my leg under my dress",Touching /Groping
90,One day my shirt rose a bit and this teacher said that was the reason women were harassed,Commenting
91,"This guy harasses me, follows me in the hallways and always gives me a lewd/dirty look. He told I sure give very good sex and once I discovered him taking photos of me when I was wearing a skirt",Stalking
92,This guy says in class that women only work if you hit them and the other students and even the teacher laughs at his comments,Commenting
93,This teacher harassed me with insistent facebook messages and asked me out multiple times,Stalking
94,"This teacher is always making macho and mysgynistic comments, he says that women can´t do anything",Commenting
95,This teachers asked all of our contact information and he used mine to send me insistent whatsapp messages,Stalking
96,This teacher passes you to the blackboard and makes fun of you. On one occasion he said I was busty,Commenting
97,"This teacher failed me in his subject and took me to his office, hentold me that he could help me pass and opened his drawer so that I could see a box of condoms, I said no and failed",Sexual Invites
98,"This professor gives you a lascivious look while biting his lip. If you are well groomed, he does not stop looking at you until you become uncomfortable and if he knows you, he forces you to greet him with a kiss.",Ogling/Facial Expressions/Staring
99,This teacher made comments about my bust several times.,Commenting
100,This teacher tried to touch my boot when he gave me my last grade.,Touching /Groping
101,I made two braids in my hair and this teacher pulled them up and asked me if they were for having sex,Commenting
102,This teacher made a comment when some girls were making noise that that's why women were beat and killed ,Commenting
103,"This teacher made comments of very bad taste in class and sent me messages to meet in his office to talk about my school situation. In the exams he brushed his leg with mine and came to touch my shoulder, lowering his hand to the middle of my chest. He told me verbatim that he liked me and that he was going to fail me in his subject unless we locked ourselves in a hotel for two hours",Stalking
104,This teacher told me that my skin turned him on,Commenting
105,This teacher approaches the girls to make them uncomfortable. Once he tried to get closer to me to touch my stomach and see if I was flat or overweight. On weekends he invited the students to improve their technique with him in a place close to the school.,Touching /Groping
106,This teacher had my number fue to the WhatsApp group and he sent me insistent messages saying that he was there for everything I needed. He told me that he could give me anything I wanted and that he loved me,Stalking
107,This teacher always tries to go out with the girls. He asks us for our phone number to make a WhatsApp group and takes the opportunity to send us messages and harass us,Stalking
108,"My friend and I went out for a beer and met this classmate from school. He started to buy us drinks and we accepted because he seemed friendly and we were getting along well. My friend had to go and he offered to drive me to my house. On the way home he took a detour onto the federal highway, stopped the car, got out and knocked on my door to open it. Once I opened it he pounced on me, started touching and pinching me while I yelled at him to stop. I turn my body and he began to penetrate me without consent, when he got tired and stopped I ran out of the car but he caught up with me and insisted on taking me home.",Rape / Sexual Assault
109,"This teacher made us give him our phone numbers to make a WhatsApp group. Every day he sent me messages and photos of him so that I could see how he was dressed, I didn't answer him. He failed me and asked me to send him photos of me.",Stalking
110,This gym teacher makes you do stretching exercises and gets on top of you and starts touching you in different parts to tell you what muscle you are working on. He also tells you that the exercise is as if he was going to rape you but without you putting up resistance.,Touching /Groping
111,This teacher said he was eager for us to present the final project to see us in dress and see our sexy legs,Commenting
112,"This friend is a pervert, he spanked me",Touching /Groping
113,"This teacher said in front of the whole group that he wanted to have a threesome with me and another classmate. I failed his subject and he told me that he could give me 10 if I wanted, that it was just a matter of me making up my mind, while he looked at me lewd",Sexual Invites
114,"This teacher hugged me putting his body on me, I tried to push him but he held me tighter as he tried to kiss me and ran his disgusting hands over my body.",Touching /Groping
115,"This teacher would take the sweater off my legs when I was wearing a dress or skirt because he said that if I used those clothes it was to show off my legs. Once, while I was sitting in the back of the room, he put his hand between my legs and when I reacted I ran out of the room.",Touching /Groping
116,this teacher would caress my neck and then ask me if I liked being done that to me,Touching /Groping
117,"This teacher offered to pass me in some subjects in exchange for 5 minutes with me and told me specifically in which position he wanted to put me, what he wanted to do to me and the part of my body that he liked so much",Sexual Invites
118,This teacher told me in front of his class that he had already seen my butt and I was very hot and that he just noticed that I had very good breasts. He continued saying that he imagined my breasts and what color my nipples were.,Commenting
119,This teacher gave me a wrong grade and when I looked for him in his office he told me that if we went to an hotel he would give me a 7,Sexual Invites
120,This teacher sent me messages by whatsapp saying that I had very good legs and when he saw me in the corridors he greeted me in a lascivious way telling me that I had a very good body,Stalking
121,this teacher told me that I had a very nice belly button and a beautiful waist and touched my back at the waist,Touching /Groping
122,"This teacher made me unseemly proposals in exchange for passing his subject, he told me that my legs deserved a 10 and that my grade could be arranged in a hotel",Sexual Invites
123,He exchanges packs,Taking pictures/ Distributing pictures
124,"This teacher sexually blackmailed me into passing his subject and as I did not accept, he failed me",Sexual Invites
125,He grabbed my phone and sent himself pictures of me to show off he had my pack. He distributed intimate pictures of other girls that where underage at the time.,Taking pictures/ Distributing pictures
126,"This teacher approached me, bent down, took my chin, looked up at me and said that I was a pretty girl in front of all the classroom.",Touching /Groping
127,"This professor would always approach my classmates and touch their shoulders, legs or hands. Once he told me he needeed to see me and when I arrived, he cornered me and began to kiss me on the mouth by force. I was shocked but when he tried to touch me, I took him off and left.",Touching /Groping
128,"Once we were alone in the laboratory and this professor hugged me, spred his legs, took me by the hips and pressed me against him and then lowered a hand to my butt. ",Touching /Groping
129,Once I was alone in class with this teacher and he grabbed my wrist and hugged me saying that he had a lot to teach me,Touching /Groping
130,This teacher made inappropiate comments about my appearance. One day he sent me a message saying he was naked in his bed,Sexual Invites
131,I tought he was one of my best friends but when I fell unconscious from drinking he abused me. ,Rape / Sexual Assault
132,"This teacher made innapropiate comments about my appearance,  I asked him to stop and he failed me. He privately told me that with that slim, well-built body, face and eyes I couldn´t be so rude",Commenting
133,They distributed intimate pictures of me that I had sent to my boyfriend and a video of us having sex that he recorded,Taking pictures/ Distributing pictures
134,This teacher made inappropriate comments about my appearance and was always trying to hug me,Touching /Groping
135,This teacher distributes the nudes of female students to other teachers,Taking pictures/ Distributing pictures
136,"He stole intimate pictures from a classmate´s cellphone and posted them on the group´s Facebook, then he created a false profile using these pictures",Taking pictures/ Distributing pictures
137,"He was my friend´s boyfriend but he took her to a hotel, beat her and forced her to have sex with him",Rape / Sexual Assault
138,He raped my daughter at school,Rape / Sexual Assault
139,This teacher made inappropiate comments about my appearance and said that he would make a great women out of me,Commenting
140,"He abused my trust and shared intimate pictures of me, he then threatened me with death",Taking pictures/ Distributing pictures
141,He spanked me on a train station,Touching /Groping
142,"This teacher harrased me and other classmates. He once put his arm around me and pulled me towards him in front of my classmated, they just laughed",Touching /Groping
143,"This teacher grabbed me by the waist while my classmates were on exam. When I sat down at my desk he came by and caressed my back. When we were alone he put his hand on my knee and slowly raised it while he made sure no one saw him, Then he touched my chest, and reached inside my bra",Touching /Groping
144,This teacher gave me a mark down for not kissing him goodbye,Touching /Groping
145,This teacher forced me to hug him and each time he lowered his hands from my waist,Touching /Groping
146,"This professor asked my male classmates to give him the student packs, including mine",Taking pictures/ Distributing pictures
147,This school administrative followed me in his car to my house and took pictures of me,Stalking
148,"This professor always harrased me in class, ge used to get too close to me. He also made inappropiate comments to me",Commenting
149,"I was in a relationship with him where he abused me psychologically and humilliated me. He forced me into trying something new during sex and when I asked him to stop because he was hurting me, he just laughed and continued to penetrate me",Rape / Sexual Assault
150,"This student harassed and followed girls at school, got their numbers and sent them many sexual messages",Stalking
151,"This teacher woul touch my back and shoulders during programming practices. One day, he tried to give me a massage. Since I ignore him, he failed me and tried to sexually blackmail me in exchange for passing the subject",Sexual Invites
152,Once I stand up to sharpen my pencil and this teacher started yelling for me to get out because I was distracting my classmates and said I online went to school to find a husband,Commenting
153,I had to block this teacher on facebook because he was sending me messages harassing me,Commenting
154,"We were in a relationship where he became very violent. He cheated on me, beat me and insulted me. Outside my house, he choked me, beat me, bit my lips and pulled my hair. On another occasion he beat me, suffocated and put me in a bathroom where he tried to rape me",Rape / Sexual Assault
155,This teacher asks for photos of female studets in exchange for approving the boy who passes them on,Taking pictures/ Distributing pictures
156,"During a vacation period I asked this teacher for mentoring and he cited me at the downtown. After a while he tried to kiss me repeatedly, I refused every time and left. I was a minor then",Touching /Groping
157,"This teacher always made advances towards my classmates and me, hugged me around the waist and made innapropiate comments about my appearance. He was very insistent on asking for my phone number",Touching /Groping
158,"This teacher harassed all the female students, made comments about our bodies and only asked girls to come forward at class to look at them in a dirty way. ",Commenting
159,"This teacher made innapropiate comments to me and two other two girls, whom he harassed more",Commenting
160,He saw all the girls in a dirty way and on some occasions I mandaged to see how he took photos of some of them,Taking pictures/ Distributing pictures
161,This teacher asked males for packs/pictures of female students to pass them in his subject,Taking pictures/ Distributing pictures
162,He was my boyfriend and invalidated all my comments and humilliated me. He was psychologically violent and used to gaslighted me.,Commenting
163,This teacher makes macho and misogynous comments during his classes,Commenting
164,This teacher would touch my shoulder or waist whenever he could and looked at me in a dirty way. He told my boyfriend that he was going to steal me away from him,Touching /Groping
165,"This teacher was always trying to intimidate me with his inappropiate comments. He once told me at my ear that it was good that I had failed, because he wouldn´t have met me otherwise",Commenting
166,This teacher always sent me messages to my facebook inviting me to go out with him and to his office for things unrelated to school,Stalking
167,He threatened me with death and harassed me for a whole semester,Stalking
168,This teacher kept staring at me throughout the school year. He would put us to solve problems on the board and get too close. There was a time where he tried to steal a kiss from me,Touching /Groping
169,"This teacher was reviewing my proyect in his office and he started asking e awkward and inappropiate questions until he cornered me into the lab, I told him I had class and wan away. On another occasion he told me that he could offer me an easy life, an apartment or take me out",Commenting
170,This teacher forced me into a classroom and asked two prefects outside to make sure no one entered.  Inside he told me to kiss him but I pushed him and left the room,Touching /Groping
171,"This teacher passed me to the fron of the class, grabbed my hand, gave me a turn and told me that I was just how I wanted and then started laughing",Touching /Groping
172,This school staff adjusted my blouse without my consent so he could see my chest,Touching /Groping
173,This teachers was sharing his screen and accidentally showed the intimate videos that are sent between him and other teachers at the school,Taking pictures/ Distributing pictures
174,"I was near the teacher´s desk asking him a question and he kept trying to see my chest, I complained to him and he failed me in his subject",Ogling/Facial Expressions/Staring
175,These classmates have a group where they sexualize female classmates. They steal pictures from their social networs and put them in the group to make sexual comments,Taking pictures/ Distributing pictures
176,He constantly asks for intimate pictures,Taking pictures/ Distributing pictures
177,He is the creator of a folder of intimate pictures which he shows to his friends,Taking pictures/ Distributing pictures
178,He asks his friends for intimate pictures of students,Taking pictures/ Distributing pictures
179,He makes women uncomfortable with sexual questions and takes pictures of them without their consent,Taking pictures/ Distributing pictures
180,"This teacher harasses through whatsapp messages, sends inappropiate messages about your appearance and is very insistent",Stalking
181,This teacher makes inappropiate comments to female students about their appearance,Commenting
182,This teacher makes inappropiate comments and forcibly kissed a student,Touching /Groping
183,This teacher asks for pictures of female students and shares the with other students,Taking pictures/ Distributing pictures
184,This teacher makes innapropiate comments and always stares at you when you turn around,Commenting
185,"This teacher always made advances towards my, he hugged me or took me by the arm. When I asked him for help to resolve a question he would stick to me a lot and when he moved the mouse he would take it with my hand or try to sit in the same chair to be closer to me",Touching /Groping
186,This professor made you feel uncomfortable with his leering staring. One day I was wearing a dress and he asked me if I wore it so that everyone would look at me. ,Ogling/Facial Expressions/Staring
187,This professor wanted to stay alone with me in the classroom. He whispered in my ear and looked at me in a lewd/dirty way. He also went so far as to touch a friend´s abdomen and make comments about her weight,Touching /Groping
188,This teacher leered at the women whom he asked to pass to the blackboard. ,Ogling/Facial Expressions/Staring
